,funding_rounds,category_list_clean_Advertising and Marketing,category_list_clean_Agriculture and Food,category_list_clean_Business and Enterprise,category_list_clean_Commerce and Retail,category_list_clean_Communications,category_list_clean_Consumer Products and Lifestyle,category_list_clean_Education and Learning,category_list_clean_Employment and HR,category_list_clean_Energy and Resources,category_list_clean_Environmental Services,category_list_clean_Events,category_list_clean_Farming,category_list_clean_Finance and Investment,category_list_clean_Health and Biotechnology,category_list_clean_Manufacturing and Industry,category_list_clean_Media and Entertainment,category_list_clean_Professional Services,category_list_clean_Public Sector and Government,category_list_clean_Real Estate and Housing,category_list_clean_Security and Safety,category_list_clean_Social and Community,category_list_clean_Technology and Software,category_list_clean_Transportation and Logistics,category_list_clean_Travel and Hospitality,fund_value_log_capped,fund_value_capped,outcome,city_group_encoded,country_group_CAN,country_group_CHN,country_group_DEU,country_group_FRA,country_group_GBR,country_group_IND,country_group_ISR,country_group_Other,country_group_RUS,country_group_USA,company_age,years_since_last_time_funding,years_since_first_time_funding,funding_intensity,time_gap_funding,avg_fund_log_per_round
14538,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.2066997678928435,10.714439990727769,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.10000000000000003,0.0789473684210526,0.0727272727272727,19.999999999999993,-0.0062200956937799035,-1.1033498839464218
14544,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2492871294584516,12.765691290604371,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3800000000000012,0.2368421052631579,0.16363636363636364,2.6315789473684124,-0.07320574162679427,-1.2492871294584516
14545,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0705743156109431,15.593487160609625,1.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.2368421052631579,0.16363636363636364,8.0,-0.07320574162679427,0.0705743156109431
14552,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.9323568630007782,17.439851517607305,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.17500000000000004,0.05263157894736842,0.0727272727272727,11.428571428571425,0.020095693779904278,0.4661784315003891
14565,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.11224155339360878,15.201805169084134,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.875,0.10526315789473684,0.0727272727272727,1.1428571428571428,-0.03253588516746414,-0.11224155339360878
14579,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.3476399431422306,12.554970929480584,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.10249999999999776,0.05263157894736842,0.054545454545454536,19.512195121951645,0.0019138755980861177,-0.6738199715711153
14581,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1499557350135294,15.763561414070363,1.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.15000000000000002,0.10526315789473684,0.10909090909090907,19.999999999999996,0.0038277511961722355,0.0499852450045098
14582,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.046889885327736,13.199326270390594,1.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2,0.15789473684210525,0.12727272727272726,10.0,-0.030622009569377995,-0.523444942663868
14584,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.28456263502480367,16.051955955291376,1.0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000000000002,0.13157894736842107,0.09090909090909088,6.666666666666666,-0.04066985645933019,0.28456263502480367
14593,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0705743156109431,15.593487160609625,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.15000000000000002,0.15789473684210525,0.10909090909090907,6.666666666666666,-0.04880382775119618,0.0705743156109431
14594,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.008090292962676573,15.424948670398354,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.22500000000000003,0.21052631578947367,0.14545454545454545,4.444444444444444,-0.06507177033492823,-0.008090292962676573
14604,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-2.58518496086036,9.90353755128617,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.15000000000000002,0.15789473684210525,0.10909090909090907,6.666666666666666,-0.04880382775119618,-2.58518496086036
14609,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7790290208264321,17.11134746100564,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.45000000000000007,0.34210526315789475,0.2545454545454545,4.444444444444444,-0.08755980861244023,0.38951451041321605
14610,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07700748653919055,15.607270193858982,1.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.4375,0.3684210526315789,0.2545454545454545,2.2857142857142856,-0.11387559808612441,0.07700748653919055
